Marital_status,Application_mode,Application_order,Daytime_evening_attendance,Previous_qualification_grade,Mothers_qualification,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Status
1,17,5,1,122.0,19,127.3,1,0,1,1,0,20,0,0,0,0.0,0,0,0,0,0.0,0,0
1,15,1,1,160.0,1,142.5,1,0,0,1,0,19,6,6,6,14.0,0,6,6,6,13.666666666666666,0,1
1,1,5,1,122.0,37,124.8,1,0,0,1,0,19,6,0,0,0.0,0,6,0,0,0.0,0,0
1,17,2,1,122.0,38,119.6,1,0,1,0,0,20,6,8,6,13.428571428571429,0,6,10,5,12.4,0,1
2,39,1,0,100.0,37,141.5,0,0,1,0,0,45,6,9,5,12.333333333333334,0,6,6,6,13.0,0,1
2,39,1,0,133.1,37,114.8,0,1,1,1,0,50,5,10,5,11.857142857142858,0,5,17,5,11.5,5,1
1,1,1,1,142.0,19,128.4,1,0,1,0,1,18,7,9,7,13.3,0,8,8,8,14.345,0,1
1,18,4,1,119.0,37,113.1,1,0,0,1,0,22,5,5,0,0.0,0,5,5,0,0.0,0,0
1,1,3,1,137.0,1,129.3,0,0,1,0,1,21,6,8,6,13.875,0,6,7,6,14.142857142857142,0,1
1,1,1,1,138.0,1,123.0,1,1,0,0,0,18,6,9,5,11.4,0,6,14,2,13.5,0,0
1,1,1,1,139.0,38,130.6,1,0,1,0,0,18,6,6,6,12.333333333333334,0,6,7,5,14.2,0,1
1,1,1,1,136.0,19,119.3,1,0,1,0,1,18,8,8,7,13.214285714285714,0,8,8,7,13.214285714285714,0,1
1,1,2,1,133.0,19,130.2,1,0,1,0,0,19,6,6,0,0.0,0,6,0,0,0.0,0,0
1,53,1,1,110.0,1,111.8,1,0,1,0,1,21,6,7,6,10.571428571428571,0,6,8,5,11.0,0,1
1,1,1,1,149.0,38,137.1,1,0,1,0,1,18,5,7,4,13.25,0,5,5,5,12.0,0,1
1,1,1,1,127.0,19,120.7,1,0,1,0,0,20,6,6,5,13.2,0,6,7,0,0.0,0,0
1,18,1,1,137.0,19,137.4,1,0,1,0,0,18,6,10,1,12.0,0,6,14,2,11.0,0,1
1,17,2,1,135.0,19,127.3,1,0,1,0,0,18,7,8,7,13.30625,0,8,8,8,14.545,0,1
1,1,1,1,137.0,3,136.3,1,0,1,0,0,20,5,8,4,12.5,1,5,8,4,12.25,2,1
1,1,1,1,140.0,19,124.6,1,0,1,0,0,18,7,7,6,11.666666666666666,0,7,8,6,13.5,0,1
1,1,3,1,122.0,1,120.3,0,0,1,0,1,21,0,0,0,0.0,0,0,0,0,0.0,0,1
1,18,4,1,127.0,1,121.8,1,0,1,0,0,20,7,14,7,11.4375,0,8,9,8,11.425,0,1
1,1,4,1,142.0,19,125.5,1,0,1,0,0,18,8,12,7,12.857142857142858,0,8,12,7,12.857142857142858,0,1
1,1,4,1,125.0,1,114.9,1,0,1,0,1,19,6,8,6,13.375,0,6,7,6,12.285714285714286,0,1
1,1,1,1,126.0,19,123.9,0,0,1,0,0,19,7,8,6,13.296666666666669,0,8,9,7,14.114285714285714,0,1
1,1,1,1,151.0,19,157.0,1,1,1,0,1,18,6,8,5,11.6,0,6,12,4,11.0,0,1
1,17,2,1,115.0,19,116.4,1,0,1,0,0,21,6,9,6,11.375,0,6,9,6,13.285714285714286,0,1
1,1,1,1,138.0,19,131.0,1,0,1,0,0,18,5,9,5,12.666666666666666,2,5,7,4,13.0,0,1
1,1,1,1,135.0,19,122.1,1,0,1,0,0,20,5,6,5,12.0,0,5,6,5,12.333333333333334,0,1
1,17,2,1,127.0,3,118.8,1,0,1,1,0,19,7,9,6,12.933333333333332,0,7,7,6,13.716666666666669,0,1
1,44,1,1,150.0,4,150.0,0,0,1,1,0,21,6,15,5,11.857142857142858,0,6,17,5,10.571428571428571,0,1
1,51,1,1,125.0,42,130.0,1,0,1,1,0,20,6,7,6,12.833333333333334,0,6,9,4,13.4,0,1
1,1,1,1,143.0,1,138.8,0,0,0,1,0,18,5,9,3,11.333333333333334,0,5,8,2,13.5,0,1
1,18,1,0,138.0,19,134.5,1,0,1,0,0,19,6,6,6,12.666666666666666,0,6,8,6,14.375,0,1
1,1,1,0,130.0,2,131.4,0,0,1,1,0,34,5,6,5,12.4,0,5,9,5,13.428571428571429,0,1
1,39,1,1,130.0,38,102.5,0,1,0,1,0,37,7,7,0,0.0,0,7,7,1,10.0,0,0
1,39,1,1,133.1,34,128.8,1,0,1,1,0,43,5,0,0,0.0,0,5,0,0,0.0,0,0
1,43,1,1,140.0,37,122.9,0,0,1,0,0,55,5,10,1,10.0,0,5,8,2,12.0,2,0
4,39,1,0,120.0,19,113.9,1,0,1,0,0,39,5,8,5,11.0,0,5,5,5,11.6,0,1
1,44,1,1,120.0,4,120.0,0,1,0,0,0,20,6,13,3,11.666666666666666,0,6,11,3,12.0,0,0
1,1,5,1,126.0,3,121.1,0,1,1,0,0,18,6,6,4,12.75,0,5,5,0,0.0,0,0
1,1,2,1,133.0,3,120.4,1,0,1,0,0,22,5,5,5,14.8,0,5,5,5,15.8,0,1
1,1,6,1,103.0,1,100.6,1,0,1,0,0,22,7,9,5,13.928,0,8,9,7,14.342857142857142,0,1
1,17,1,1,120.0,1,121.4,0,0,0,0,0,20,6,7,4,13.0,0,6,7,5,13.8,0,0
1,39,1,0,133.1,37,109.7,0,0,1,0,0,29,5,0,0,0.0,0,5,0,0,0.0,0,0
1,17,1,0,154.0,38,134.1,0,0,1,0,0,24,5,9,2,11.5,0,5,11,3,14.333333333333334,1,1
1,17,2,1,130.0,19,127.6,1,0,1,0,0,18,6,6,6,11.666666666666666,0,6,8,5,13.2,0,1
1,17,6,1,132.0,37,132.4,1,0,1,0,1,22,7,8,6,13.516666666666666,0,8,9,7,13.771428571428572,0,1
1,44,1,0,130.0,1,133.4,0,0,1,0,1,21,6,6,6,11.5,0,6,7,6,13.285714285714286,0,1
1,1,1,1,139.0,37,126.1,0,0,1,0,1,19,6,7,5,12.333333333333334,0,6,7,6,12.833333333333334,0,1
1,39,1,1,130.0,19,113.5,0,0,1,0,1,24,6,6,6,13.666666666666666,0,6,6,6,14.166666666666666,0,1
1,1,1,1,139.0,37,121.3,1,0,1,0,1,19,8,10,6,11.833333333333334,0,8,10,6,11.833333333333334,0,1
1,1,1,1,127.0,1,121.8,1,0,1,0,1,20,6,11,4,14.0,0,6,12,3,11.0,0,1
1,1,3,1,167.0,37,159.3,0,0,1,0,0,19,5,7,5,14.714285714285714,0,5,5,5,15.8,0,1
1,39,1,0,130.0,38,120.0,0,0,1,0,0,27,5,12,5,10.6,0,5,10,5,11.0,0,0
1,1,1,1,130.0,1,129.1,1,0,1,0,0,18,7,9,7,13.044444444444444,0,8,10,8,13.595,0,1
2,7,1,1,130.0,1,130.0,0,0,1,0,0,39,6,10,0,0.0,0,6,6,0,0.0,0,0
1,39,1,1,129.0,3,155.3,1,0,1,0,0,27,6,9,5,13.0,0,11,13,10,12.9,0,0
1,17,1,1,141.0,38,139.8,1,0,1,0,0,18,8,8,8,14.935,0,8,8,8,14.935,0,1
1,1,3,1,125.0,38,115.2,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0,0.0,0,1
1,1,2,1,125.0,19,114.9,0,0,1,0,0,18,7,8,6,13.133333333333333,0,8,12,7,12.221428571428572,0,1
1,44,1,1,130.0,19,131.9,0,0,1,0,1,21,6,7,6,12.0,0,6,7,6,12.0,0,1
1,17,3,1,133.0,1,126.0,1,0,1,1,1,19,0,0,0,0.0,0,0,0,0,0.0,0,1
1,17,1,1,127.0,1,130.2,1,0,1,1,0,19,6,6,5,11.4,0,6,8,1,10.0,0,1
1,43,1,1,116.0,1,120.9,0,0,1,1,0,24,6,6,0,0.0,0,6,6,0,0.0,0,1
4,42,1,1,133.1,1,126.0,1,0,1,1,0,29,7,10,5,11.9,0,8,10,5,11.0,0,0
1,1,3,1,139.0,19,128.2,1,0,1,1,1,19,0,0,0,0.0,0,0,0,0,0.0,0,1
1,44,1,1,130.0,19,130.0,1,0,1,1,0,23,6,8,6,12.571428571428571,0,6,7,6,12.428571428571429,0,1
1,1,3,1,125.0,1,120.1,0,1,1,1,0,19,5,8,5,11.2,0,5,10,4,10.75,3,0
1,39,1,1,160.0,19,100.0,0,0,1,1,0,26,6,7,6,12.0,0,6,8,5,10.8,0,1
1,17,1,1,148.0,38,134.0,0,0,1,1,0,18,5,9,0,0.0,0,5,5,0,0.0,0,1
1,17,1,1,150.0,37,130.8,0,0,1,1,0,24,7,8,7,11.975,0,8,8,8,13.75,0,1
1,1,1,1,141.0,19,135.8,1,0,1,1,0,19,0,0,0,0.0,0,0,0,0,0.0,0,0
1,17,4,1,118.0,38,111.7,1,0,1,1,0,18,6,12,3,11.666666666666666,0,6,12,1,12.0,0,0
1,1,2,1,142.0,38,132.9,1,0,1,1,0,18,6,8,6,12.333333333333334,0,6,11,3,12.333333333333334,0,1
1,17,3,1,120.0,19,115.5,1,1,1,1,0,18,5,8,3,10.333333333333334,0,5,11,3,10.857142857142858,0,0
1,18,4,1,106.0,19,106.0,1,0,1,1,1,21,6,8,4,10.5,0,6,11,1,11.0,0,0
1,17,4,1,121.0,1,120.3,1,1,1,1,1,19,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,0,1
1,17,4,1,150.0,38,130.8,0,0,1,1,1,22,7,7,7,14.842857142857142,0,8,9,8,15.055555555555555,0,1
2,39,1,0,120.0,37,117.0,0,0,1,1,0,33,6,8,6,12.0,0,6,6,6,11.666666666666666,0,1
1,1,6,1,114.0,19,110.2,1,0,1,1,0,20,6,8,5,12.2,0,6,7,5,12.2,0,0
1,39,1,0,140.0,3,155.7,1,0,1,1,0,35,1,1,0,0.0,1,5,0,0,0.0,0,0
1,39,1,1,160.0,3,180.4,0,1,1,1,0,24,12,17,6,12.166666666666666,0,12,14,10,13.3,0,0
1,17,1,1,120.0,19,125.5,0,0,1,1,0,18,5,6,5,12.0,0,5,8,3,11.333333333333334,0,1
2,39,1,0,130.0,37,110.0,1,0,1,0,0,33,6,7,6,11.0,0,6,11,5,11.0,0,1
1,42,1,1,160.0,37,161.0,1,0,1,0,1,22,8,8,7,13.08,0,8,8,7,13.08,0,1
1,39,1,1,120.0,1,100.0,0,0,1,0,1,25,5,7,4,10.5,0,5,7,5,11.6,0,1
1,17,1,1,124.0,19,117.6,1,0,1,1,0,20,6,9,6,10.666666666666666,1,6,6,5,11.2,0,1
1,1,6,1,143.0,38,128.7,1,0,1,1,0,23,5,6,4,14.0,0,5,5,5,13.8,0,1
1,43,2,1,115.0,38,112.2,1,1,1,1,0,18,5,9,2,10.0,0,5,9,0,0.0,0,1
1,39,1,1,133.1,1,100.8,0,0,1,1,0,24,7,18,0,0.0,0,7,7,0,0.0,0,0
1,17,2,1,133.1,19,105.0,1,0,0,0,0,21,6,6,6,14.0,0,6,6,6,13.5,0,1
1,15,1,1,133.1,1,100.0,0,0,1,0,0,26,6,7,2,12.0,1,6,6,0,0.0,0,0
2,39,1,1,133.1,37,115.5,0,0,1,0,0,39,6,12,3,12.666666666666666,0,6,14,0,0.0,1,0
2,39,1,0,133.1,37,114.0,0,0,1,0,0,44,8,11,8,11.875,0,6,7,6,12.333333333333334,0,1
1,15,1,1,130.0,38,137.0,1,0,1,1,0,19,5,9,5,14.0,0,5,11,3,13.25,0,1
